"Lot","ln_N0","N0","var_N0_CRR"
340,-2.25369682640982,0.105010301258834,0.3334
341,-1.96604738645814,0.140009166088105,0.3372
342,0.0027951951998618,1.00279910540037,0.3307
343,-1.54499600317138,0.213312723795611,0.3331
344,-3.52607703558888,0.0294201038004146,0.3237
345,-0.848826027070116,0.427917000158243,0.3333
346,-0.984235699670581,0.373724755761815,0.3345
347,-2.40971421158661,0.0898409664109638,0.3323
348,-2.76043770258054,0.0632640714512492,0.3344
349,-3.91643037192711,0.0199120466337543,0.3118
350,-0.380175365661393,0.683741493918848,0.3361
351,-2.07144029025748,0.126004168372369,0.3321
352,-1.93007012542015,0.145138020262101,0.3345
353,-1.73682003496392,0.176079437742244,0.3383
354,-2.88202099128871,0.0560214295288385,0.3365
355,-0.897029909890358,0.407779003306545,0.3395
356,-2.29508786026855,0.10075254073413,0.3358
357,-2.1278181122754,0.119096866561367,0.3336
358,-0.858858519071983,0.423645389554693,0.3318
359,0.341433487520737,1.40696300959585,0.3412
360,-2.27714995517445,0.102576137099356,0.3369
361,-3.57634911823837,0.0279776551366111,0.3157
362,-0.00158692494253675,0.998414333557047,0.3387
363,-1.55054488699594,0.212132354168575,0.3389
364,-3.97983110794284,0.0186887954603143,0.3141
365,-2.97696531112005,0.0509472084339295,0.3326
366,1.48269987130193,4.40482209407291,0.3361
367,-1.68016653009004,0.186342941748542,0.3343
368,-1.83511525299969,0.159595106893301,0.3403
369,-1.0079481927611,0.36496705390007,0.3308
370,-2.66925544177983,0.0693038068233022,0.3313
371,-1.4356404087857,0.237962921661482,0.3377
372,-0.506832703757108,0.602400541400825,0.3422
373,-2.03639329890097,0.130498532316307,0.3367
374,-2.41433967668468,0.0894263697468416,0.3371
375,-1.37109792294763,0.253828122789405,0.33
376,-0.699539388768626,0.496814089246201,0.3388
377,-3.72235394357719,0.0241769895408982,0.3164
378,-0.239533824476269,0.786994653209784,0.3364
379,-0.487726482144369,0.614020795728204,0.3396
380,-2.19747665847554,0.111083105625607,0.3355
381,-2.37176279790899,0.0933160838075805,0.3336
382,-0.569036648061903,0.56607050122832,0.3386
383,-2.85469752081772,0.05757323319186,0.3301
384,-2.5553571479445,0.0776644894007286,0.3372
385,-2.59212344840721,0.07486090791497,0.3328
386,-1.7141612856365,0.180114722185283,0.3349
387,-1.23749904400074,0.29010886090738,0.34
388,-0.952925355634046,0.385611321618076,0.3327
389,-2.44151614945714,0.0870288027124685,0.3257
390,-1.49849442828252,0.22346635162355,0.3309
391,-1.3335469458431,0.263540836483068,0.3425
392,-4.16175378424788,0.0155802096192741,0.3
393,-2.94606805704771,0.0525459078076754,0.331
394,-2.34903925930723,0.0954608312785744,0.3362
395,-1.62485877993781,0.19693948504682,0.3397
396,-0.584889138592545,0.557167626775728,0.3334
397,-0.137086011891649,0.871895229548843,0.344
398,-2.49009029743672,0.0829024803557104,0.3264
399,-2.21416795948739,0.109244372187914,0.3395
400,-0.574850119302094,0.562789213726087,0.3366
401,-1.5394849516056,0.214491546508897,0.3495
402,-2.82847259682733,0.0591030589617587,0.3299
403,-1.21019656998873,0.298138668554789,0.3432
404,-2.25885907875251,0.104469608382424,0.344
405,-3.07359715075867,0.0462544709383443,0.3343
406,-2.1362084335804,0.118101785945138,0.3434
407,-0.968657007578745,0.379592485766202,0.3314
408,-3.30072258514548,0.0368565257989299,0.3279
409,0.470226660269638,1.60035688943547,0.3321
410,-2.544887560466,0.078481875950189,0.3439
411,-2.250918508229,0.105302458953581,0.3387
412,-2.50714453118368,0.0815006297978921,0.3328
413,-3.75008643276685,0.0235157132400082,0.3213
414,0.962503084082531,2.61824195782553,0.3316
415,-1.91112827040164,0.147913406095495,0.3351
416,-1.42567036532272,0.240347288703721,0.3421
417,-3.55319587517875,0.0286329858264563,0.318
418,-1.60431123695139,0.201027967873901,0.3323
419,-2.63125557647032,0.0719880190086398,0.3414
420,-0.647032799653676,0.523597091563344,0.3405
421,-2.73594299953454,0.0648328409297452,0.3331
422,-1.55499167819216,0.211191140125744,0.3329
423,-2.57792814229484,0.0759311597228376,0.3347
424,-1.63507589395749,0.194937576153641,0.3336
425,-2.01447224861938,0.133390781962458,0.3335
426,-2.11004470814974,0.121232546229388,0.3423
427,-0.348588892167706,0.705683182527947,0.3389
428,-2.22258884757355,0.108328300039517,0.3348
429,-1.70622991530933,0.181548958961237,0.3361
430,-1.17869894651244,0.30767878486,0.3313
431,-0.335709404833038,0.714830802013101,0.3343
432,-2.56739008025513,0.0767355579498833,0.3409
433,-2.23437755261935,0.107058747554948,0.3358
434,-1.17540447125606,0.308694096544934,0.333
435,-1.4081140950836,0.244604148609062,0.3331
436,-1.31605155174391,0.268192156978652,0.3414
437,-3.06029556968252,0.0468738386866846,0.3294
438,-1.98696495403362,0.137110932567798,0.3365
439,-0.480174612946361,0.618675353647643,0.3382
440,-1.58968391531473,0.203990079685147,0.3359
441,-1.50506349010207,0.222003198378769,0.3357
442,-1.50078174220282,0.222955798047506,0.326
443,-3.78740080452137,0.022654408629339,0.3212
444,-1.46678860293081,0.230665054105111,0.3344
445,-1.99513805093278,0.135994878651039,0.3409
446,-1.88989308394697,0.151087961701381,0.3338
447,0.419818104825943,1.52168474333274,0.3304
448,-4.46546711635461,0.0114993229833998,0.295
449,-1.56080182306556,0.209967646784284,0.3379
450,-1.23118548838314,0.291946273535868,0.3328
451,-3.83155109392294,0.0216759680789777,0.3143
452,-0.857482723383723,0.424228640179842,0.3389
453,-0.414682685580596,0.660549849445597,0.3322
454,-2.42281845033528,0.088671349146919,0.3384
455,-1.09499905984055,0.334539921469328,0.339
456,-1.40192395935541,0.246122977517334,0.3349
457,-2.1421005482915,0.117407962725052,0.3316
458,-1.61079363114743,0.199729039971625,0.3342
459,-1.65241275384399,0.191587098014042,0.3423
460,-1.89549467304281,0.150243995006736,0.3355
461,-2.03820844126924,0.130261873750775,0.3351
462,-1.41743404342781,0.242335040986964,0.3456
463,-0.930478632999227,0.394364909132706,0.3333
464,-0.294734208949291,0.744729503599831,0.333
