"Lot","mumax","var_mumax_CRR"
265,3.66523711222779,0.3331
266,2.44008236910975,0.3396
267,2.76755992695943,0.3345
268,3.33112680428419,0.3429
269,1.17283162768125,0.3251
270,1.42023889118101,0.3273
271,2.66678237900979,0.3331
272,2.24560010519498,0.3306
273,5.03321140263293,0.3399
274,3.98753440915155,0.331
275,1.83152336643871,0.3382
276,1.13228690316516,0.3362
277,1.29205645664253,0.3284
278,4.13921477365343,0.3426
279,3.07900314182896,0.3343
280,2.29549703522669,0.3331
281,1.43440349788018,0.3306
282,2.19679217898005,0.3277
283,2.4320335626797,0.3395
284,5.50117653010407,0.332
285,2.70846470124775,0.3252
286,2.70893534757206,0.3293
287,3.4321141590165,0.3328
288,2.37529755648298,0.342
289,2.75999065305523,0.3312
290,3.63954428483127,0.3417
291,1.61380410055267,0.3364
292,3.11498155939276,0.3363
293,1.71482761902153,0.3264
294,3.04268777383761,0.3376
295,3.44519890120908,0.3327
296,0.67939424951911,0.328
297,3.20744683591509,0.3275
298,2.89354068981365,0.3306
299,3.70755008983475,0.3371
300,3.41865137324707,0.3356
301,2.39497790066643,0.3311
302,3.45552907335924,0.3366
303,2.56311086663835,0.3394
304,1.03427311943829,0.3285
305,3.55664905187383,0.3326
306,2.85093867952486,0.3306
307,2.46123844947064,0.331
308,2.84195128259523,0.3321
309,1.9796210562011,0.3328
310,4.38165129736651,0.3378
311,4.48216192436011,0.3396
312,2.7168347375579,0.3371
313,2.98548698115748,0.3389
314,2.16854079517819,0.3303
315,3.41207527546649,0.3291
316,3.04941086034254,0.3432
317,5.44063264679405,0.333
318,2.34332004071617,0.3307
319,3.21941257190803,0.3348
320,3.77939681463281,0.3266
321,2.99771185475455,0.3281
322,4.56646446839812,0.3312
323,2.02919051963457,0.3329
324,1.88583981504637,0.3238
325,2.74451301949777,0.3337
326,0.991657214792367,0.3305
327,3.90576848507311,0.3404
328,2.31975657127742,0.3321
329,3.76055691478309,0.3355
330,3.74067431942836,0.3352
331,4.12126277776454,0.3396
332,0.621037404120208,0.3268
333,3.59168038932192,0.3404
334,3.25539953445423,0.3334
335,2.7191200451109,0.3263
336,3.83078224433214,0.3338
337,3.74429350630933,0.3373
338,3.27516245613714,0.3329
339,1.68377916955402,0.3391
340,2.42370476117931,0.3307
341,2.72103374085703,0.3355
342,4.75629303618604,0.3298
343,3.15627254672231,0.3317
344,1.10899288793126,0.3327
345,3.87592565310326,0.3326
346,3.73594679140285,0.3329
347,2.26244416568073,0.331
348,1.89996213677386,0.3349
349,0.70626772975738,0.3281
350,4.36039382955248,0.3355
351,2.61209275096082,0.3301
352,2.75822253513507,0.333
353,2.95798286389973,0.3365
354,1.77431593361075,0.3352
355,3.82609514008688,0.3387
356,2.38092215719013,0.3343
357,2.5538176430753,0.3318
358,3.86555461106967,0.331
359,5.10636483122684,0.34
360,2.3994630903232,0.3338
361,1.05709314253579,0.3231
362,4.75176296968616,0.3378
363,3.15053659134863,0.3374
364,0.640939115926212,0.3363
365,1.67620569282004,0.3332
366,6.28616995921647,0.3356
367,3.01654562557093,0.3332
368,2.85637576023322,0.3376
369,3.7114342181017,0.33
370,1.99419665306632,0.3308
371,3.2693153076143,0.3363
372,4.22946119450159,0.3414
373,2.64831943268369,0.3356
374,2.25766334840487,0.3354
375,3.33603433334842,0.3288
376,4.03025034676842,0.3374
377,0.906409265856742,0.3296
378,4.50578302274027,0.3358
379,4.24921232428402,0.3386
380,2.48181562835613,0.3336
381,2.30167044449913,0.333
382,4.16515767907423,0.3375
383,1.80255168085107,0.3319
384,2.11191272338085,0.3365
385,2.07391348898596,0.3318
386,2.98140519220042,0.3335
387,3.47413922506886,0.3389
388,3.76831360280807,0.3303
389,2.2295742405584,0.325
390,3.20434192972777,0.33
391,3.37485173426112,0.3402
392,0.453699415369488,0.3211
393,1.70813247692705,0.3326
394,2.32515749220237,0.3354
395,3.07371754431048,0.3385
396,4.14877013181859,0.3326
397,4.61168936443009,0.3434
398,2.17936942818242,0.3247
399,2.46456292871716,0.3382
400,4.15914798966623,0.335
401,3.16196939652801,0.3484
402,1.82965264990557,0.3297
403,3.5023626618268,0.3415
404,2.41836893328253,0.3415
405,1.57635923216364,0.3363
406,2.54514500695689,0.3412
407,3.75205113254333,0.3301
408,1.34171872115466,0.3342
409,5.23950674487487,0.33
410,2.12273349167962,0.3431
411,2.42657649984245,0.3371
412,2.16174284786362,0.331
413,0.877797736531714,0.3354
414,5.74840609292916,0.3309
415,2.7778023218004,0.3343
416,3.27962155087784,0.3406
417,1.08099510341024,0.3287
418,3.0949577124258,0.3297
419,2.03346966091426,0.3407
420,4.08452903686735,0.3398
421,1.92527638056498,0.333
422,3.14593988542959,0.3317
423,2.08858476592197,0.3336
424,3.06315603988003,0.3317
425,2.67097844334027,0.3326
426,2.57218912036547,0.3399
427,4.39304654333749,0.3375
428,2.45585883145834,0.3332
429,2.98960385335656,0.3343
430,3.53492279962815,0.3303
431,4.40636079839118,0.3334
