"Lot","LOG10Nmax","Var_LOG10Nmax_CRR"
213,9.37799659798762,0.336
214,9.11631980963677,0.3379
215,9.27060935552684,0.3301
216,8.58554801998731,0.3344
217,8.45176234851431,0.3369
218,9.01875720850423,0.331
219,8.78355719201805,0.3324
220,8.95466449047558,0.3319
221,9.1520716990001,0.3417
222,8.93644529923809,0.334
223,9.30235889365733,0.3311
224,8.95564310184526,0.3303
225,8.80766152118936,0.3402
226,9.26118607382233,0.3317
227,8.84568166901945,0.3326
228,9.0483120570909,0.3389
229,9.07136524087398,0.3352
230,9.0862011143001,0.338
231,9.11548015688403,0.3301
232,8.5211012534898,0.3366
233,8.49435179985796,0.3422
234,8.94609521533361,0.3366
235,8.77496722526076,0.3258
236,8.73495592336348,0.3275
237,9.23893810813247,0.3297
238,9.12572359067864,0.3386
239,9.0393842781177,0.3304
240,9.3144907687363,0.3301
241,8.97316121431994,0.3347
242,9.20671648022515,0.3332
243,9.37020009714282,0.3341
244,9.14077121896854,0.3341
245,8.98917346262447,0.3322
246,9.10602425719537,0.3359
247,8.37173539216315,0.3399
248,9.17545019580269,0.3317
249,8.97799693492196,0.3356
250,9.04056281215567,0.3279
251,9.47754314677667,0.3352
252,8.96481959037822,0.3367
253,9.3366346805215,0.3354
254,8.92056692326809,0.3331
255,8.90907404792627,0.3331
256,9.36544549743917,0.333
257,9.20882996344717,0.3399
258,9.28383874096297,0.3368
259,8.7089097349696,0.3245
260,9.02492666148415,0.3333
261,9.30957429958872,0.3341
262,8.6637071359252,0.3386
263,9.14624191828323,0.3314
264,7.94824478139883,0.3327
265,9.19722133958495,0.3327
266,8.92654526889782,0.3397
267,9.00905426510894,0.3339
268,9.13296620784496,0.3428
269,8.50726043721922,0.3277
270,8.60468271607876,0.3295
271,8.98456012075646,0.3327
272,8.87332047189798,0.3305
273,9.40232556061125,0.3377
274,9.25359270471927,0.3292
275,8.74803610272409,0.339
276,8.49033396765745,0.3402
277,8.55540312466221,0.3312
278,9.27835967190638,0.3421
279,9.08012447295454,0.3331
280,8.88729608990787,0.3339
281,8.60998186248954,0.332
282,8.85942873818245,0.3276
283,8.92440785210999,0.3394
284,9.44977035843999,0.3309
285,8.9947843099466,0.3247
286,8.99489899715911,0.3295
287,9.15305155301142,0.3326
288,8.90918404395105,0.3428
289,9.00724106051375,0.3307
290,9.19249825862363,0.3409
291,8.67476336882361,0.3374
292,9.08791027986201,0.3358
293,8.70945300498773,0.3281
294,9.07217983690617,0.3374
295,9.15561078809269,0.3321
296,8.27578888904554,0.3314
297,9.10753953761764,0.3269
298,9.03861924978909,0.33
299,9.20492379782067,0.336
300,9.15040814581308,0.3347
301,8.91449619051702,0.3307
302,9.15762436557437,0.3353
303,8.95854432383006,0.3394
304,8.44813632002937,0.3334
