"Lot","Tmin","var_Tmin_CRR"
710,-4.56275868869991,0.3306
711,-2.27201269744779,0.332
712,-1.22556465822271,0.3351
713,-3.90307256575188,0.3346
714,-3.03401201244527,0.3401
715,0.117201840018867,0.3362
716,-4.67765453293675,0.3371
717,-1.68105551278665,0.3378
718,-5.02064167518342,0.3403
719,0.188389661551525,0.3319
720,-0.781786359887477,0.3353
721,-6.04219563589633,0.3307
722,-1.96011385902393,0.3341
723,-4.68477029321722,0.3256
724,-0.778235811726709,0.3346
725,-5.42177655077011,0.3324
726,-3.58083119377196,0.3394
727,-4.69967058971068,0.3309
728,-4.09414142401074,0.339
729,-0.0814485052174261,0.3296
730,-0.909988399066951,0.3321
731,-3.57592463268429,0.3414
732,0.211021237679763,0.3364
733,-3.17368927352576,0.3362
734,0.10232307903693,0.331
735,-2.05734821790892,0.3309
736,-5.76362159931295,0.3349
737,-0.401744103637005,0.3398
738,-2.80118035914879,0.3338
739,-2.86243029160341,0.337
740,-4.03374450310693,0.3282
741,-5.21037039119194,0.3296
742,-2.00747987238118,0.3319
743,-2.88746406713459,0.3332
744,-2.93408771263585,0.3278
745,-1.53408711444127,0.3415
746,0.400066759135561,0.3149
747,-3.86005628448211,0.3301
748,-1.4998434775865,0.3289
749,-3.73694743921771,0.3358
750,-4.5675047175179,0.3328
751,-4.96687944797174,0.3334
752,-4.52904874692109,0.3385
753,-0.0448238406982893,0.3219
754,-1.94813730670133,0.3318
755,-4.06129834520317,0.3325
756,0.00299468757716825,0.3332
757,-6.17777572302709,0.3265
758,-5.30532805220577,0.3388
759,-1.14919733108236,0.3433
760,-1.82973878631912,0.3321
761,-4.8143117083203,0.3288
762,-1.71093193190136,0.3375
763,-2.72052104153681,0.3361
764,-4.51647773201396,0.3361
765,-3.54554072622143,0.3339
766,-5.23153682050344,0.3344
767,-0.666004318465982,0.3298
768,-1.20683612106769,0.337
769,-5.89066227791776,0.3331
770,-2.56709074738546,0.3372
771,-1.68998982076367,0.3461
772,-6.09479367008059,0.3336
773,-3.77845796833253,0.326
774,-2.06901483515563,0.3259
775,-3.05516553882411,0.3276
776,-4.89807851197165,0.3376
777,-5.3540923168395,0.3364
778,-3.86802850676453,0.3365
779,-0.49258445316103,0.3422
780,1.49451764056537,0.3282
781,-4.26778197997502,0.3346
782,-1.97381780675623,0.3342
783,-4.1663418364386,0.3372
784,-2.8289554691893,0.3323
785,-2.7115045029261,0.3293
786,-1.67556448728155,0.3364
787,-4.91198575602473,0.3329
788,-1.60295781899378,0.3344
789,-1.56299151625898,0.332
790,-2.68279159122252,0.3374
791,-4.55502069032623,0.3341
792,-2.63826214617089,0.3338
793,-3.51257708355928,0.327
794,-0.799174664165213,0.3335
795,-1.25962519123618,0.3373
796,-3.00962644049512,0.3292
797,-1.05052842187791,0.3387
798,-2.44417575299138,0.3394
799,-1.80939450074996,0.3384
800,-4.83309159279604,0.3352
801,0.453669729959035,0.3326
802,-4.71572115842651,0.3391
803,-5.29518823147761,0.3305
804,-3.08980205759194,0.3351
805,-0.194386702707856,0.3363
806,-4.61159010598853,0.3344
807,-4.05866534187542,0.3414
808,-0.292233307828616,0.3369
809,-2.92244136419123,0.3356
810,-2.11729817070705,0.332
811,-4.25168214160573,0.3376
812,-1.03622018074903,0.331
813,-3.56971582642655,0.3426
814,-0.895189087382074,0.3302
815,-2.40743300237505,0.3351
816,-3.47171437745187,0.3377
817,-2.00078800073015,0.3332
818,-2.08275598856203,0.3315
819,-1.3104245057381,0.3333
820,-3.44677303091234,0.335
821,-3.23484508040745,0.3358
822,-5.78222264658026,0.3253
823,-2.17883375626305,0.3302
824,-3.35219017878926,0.3286
825,-2.16460655561825,0.3305
826,-1.55300501346986,0.3287
827,-3.18759521696131,0.3385
828,-2.74165812802219,0.3353
829,-4.75627542648495,0.3451
830,0.0140169183313739,0.3294
831,-0.681249299310395,0.3387
832,-1.32221505329442,0.3363
833,-2.65782844714126,0.3361
834,-2.06054170118951,0.3429
835,-3.32453199219361,0.3318
836,-3.18975353702493,0.333
837,-3.23081808500239,0.3365
838,-2.52076287474101,0.3302
839,-4.12108912564756,0.3402
840,-3.58878765582754,0.3334
841,-3.88913168239388,0.3418
842,-3.82218880426738,0.3359
843,-3.31614596719922,0.334
844,-1.7256907238265,0.3274
845,-3.09319098544793,0.3292
846,-1.05925921039315,0.3411
847,-0.32055233708589,0.3346
848,-2.66924945922212,0.3377
849,-4.4308282168616,0.3405
850,-3.69504963690114,0.3313
851,0.169626842107447,0.3299
852,-3.85190496984243,0.3313
853,-1.26669493029103,0.3316
854,-5.52824921656367,0.3292
855,-3.66285361317888,0.3341
856,1.2700966816693,0.326
857,-2.73163595264022,0.3221
858,-1.92514329145259,0.3347
859,-0.482017008818962,0.3286
860,-3.40772671689066,0.33
861,-4.80436956866946,0.3308
862,-3.07265614169221,0.3292
863,-4.13076269260794,0.345
864,-2.6939372991137,0.3382
865,-4.37563747012996,0.3291
866,-1.42269082087282,0.3381
867,-1.43194584178654,0.3266
868,-4.19533041988485,0.3355
869,-3.70680120097249,0.3411
870,-4.30982399113903,0.3296
871,-3.4851458841719,0.329
872,-2.76443225474794,0.3368
873,-2.91947124867919,0.3407
874,-2.35178130238201,0.3288
875,-2.14902732701569,0.3357
876,-3.0641829142701,0.3338
877,-1.33670843803855,0.3395
878,-3.60044480431399,0.3352
879,-2.93596301333466,0.3301
