"Lot","prev","unc_prev_CRR"
244,0.04156097939578,0.3504
245,0.0393016858343823,0.3313
246,0.0409935659083726,0.332
247,0.0335379848609181,0.2883
248,0.0421620404833084,0.3485
249,0.0391550117219669,0.3322
250,0.0400082150124147,0.3358
251,0.0506273256757239,0.4121
252,0.0389850893365626,0.3244
253,0.0455508037890427,0.3623
254,0.0384369893504741,0.3243
255,0.0383000161860213,0.3251
256,0.0463019354862375,0.3716
257,0.0427769029326535,0.348
258,0.0443114338730606,0.3644
259,0.0362070183192058,0.3111
260,0.0397874315437049,0.3301
261,0.0448962018825434,0.3655
262,0.0357975390471481,0.3034
263,0.0416534019222787,0.3452
264,0.0310171568979202,0.2668
265,0.0425587875862985,0.3571
266,0.0385090891187218,0.3268
267,0.0395685956548173,0.3307
268,0.0414306115285397,0.3409
269,0.0345145877692979,0.2965
270,0.0352907720669849,0.302
271,0.0392408545143327,0.33
272,0.037887072043206,0.3178
273,0.0473741334313039,0.3797
274,0.0436646806019069,0.3561
275,0.0365780321767948,0.3075
276,0.0343865371167968,0.2908
277,0.0348894458607287,0.2972
278,0.0441911911559193,0.3663
279,0.0405913554407578,0.3363
280,0.0380461755242741,0.3202
281,0.0353350640430319,0.3155
282,0.037731750732785,0.3178
283,0.0384832439692624,0.316
284,0.0490951310631647,0.3917
285,0.039376224589469,0.3295
286,0.039377754581759,0.328
287,0.0417696711606004,0.3478
288,0.0383013170883499,0.3304
289,0.0395439259673088,0.3263
290,0.0424713760601431,0.3421
291,0.0358958959712915,0.3026
292,0.0407104922007884,0.3363
293,0.0362120610580947,0.3121
294,0.0404713123621232,0.336
295,0.0418137249219558,0.3361
296,0.0329056387756675,0.2828
297,0.0410176289978958,0.3436
298,0.0399804835079918,0.3401
299,0.042702983485029,0.3527
300,0.0417243739766534,0.3527
301,0.0383643727092077,0.3262
302,0.0418485244826694,0.339
303,0.0389052857035869,0.3252
304,0.0340752223781603,0.2916
305,0.0421900998001764,0.3492
306,0.0398409239985062,0.3341
307,0.038577065824827,0.3303
308,0.0398115182280801,0.3317
309,0.0370441106615471,0.3187
310,0.0450408389563314,0.3681
311,0.0453960274377297,0.3672
312,0.0394034391650292,0.3252
313,0.0402826556538033,0.3347
314,0.0376419829667683,0.3198
315,0.0417022587173308,0.351
316,0.0404935201782923,0.3425
317,0.0488703362332972,0.3864
318,0.0381989742775469,0.3186
319,0.0410574756322114,0.3317
320,0.0429485103928714,0.3498
321,0.0403229315935708,0.3269
322,0.0456952710178574,0.3676
323,0.0372005951538459,0.3051
324,0.0367487364680184,0.3049
325,0.0394935086180617,0.3213
326,0.0339388684508853,0.291
327,0.0433824675842686,0.3516
328,0.0381236487330629,0.317
329,0.0428840439822845,0.3475
330,0.0428160740676675,0.3617
331,0.0441286733048303,0.3706
332,0.0327013784359778,0.284
333,0.0423088273655786,0.3482
334,0.0411774540938438,0.3391
335,0.0394108715187655,0.3368
336,0.0431246433682858,0.3579
337,0.0428284415673135,0.352
338,0.0412434318836765,0.33
