Observation,Strain,Lineage,Serotype,Source,Condition,Phase,Nisin,Temperature,Replicate,Age,Date,Day,Inoculum,Log_CFU,Log_Diff,AgeGroup,Native_Microbiota
86,FSL L4-0396,II,1/2a,Environment,BHI,Stationary,Plus,7,3,68,1/3/18,15,6.1,4.88,-1.22,BHI3,5.1
87,FSL N1-0061,I,4b,Environment,BHI,Stationary,Plus,7,3,68,1/3/18,15,6.18,5.4,-0.78,BHI3,5.7
88,FSL F2-0237,II,1/2a,Salmon,BHI,Stationary,Plus,7,3,68,1/3/18,15,6.14,5.4,-0.74,BHI3,6
89,FSL L3-0051,I,1/2b,Salmon,BHI,Stationary,Plus,7,3,68,1/3/18,15,5.9,7.94,2.04,BHI3,5.74
90,FSL L4-0060,I,1/2b,Environment,BHI,Stationary,Plus,7,3,68,1/3/18,15,6.09,8.36,2.27,BHI3,6
91,FSL F2-0310,I,4b,Salmon,BHI,Stationary,Minus,7,3,68,1/3/18,15,6.18,8.69,2.51,BHI3,6.3
92,FSL L4-0396,II,1/2a,Environment,BHI,Stationary,Minus,7,3,68,1/3/18,15,6.1,8.99,2.89,BHI3,5.7
93,FSL N1-0061,I,4b,Environment,BHI,Stationary,Minus,7,3,68,1/3/18,15,6.18,9.03,2.85,BHI3,5.88
94,FSL F2-0237,II,1/2a,Salmon,BHI,Stationary,Minus,7,3,68,1/3/18,15,6.14,9.08,2.94,BHI3,5.7
95,FSL L3-0051,I,1/2b,Salmon,BHI,Stationary,Minus,7,3,68,1/3/18,15,5.9,8.91,3.01,BHI3,5.88
96,FSL L4-0060,I,1/2b,Environment,BHI,Stationary,Minus,7,3,68,1/3/18,15,6.09,8.41,2.32,BHI3,5.7
97,FSL F2-0310,I,4b,Salmon,BHI,Stationary,Plus,7,3,68,1/18/19,30,6.18,6,0.3,BHI3,6.22
98,FSL L4-0396,II,1/2a,Environment,BHI,Stationary,Plus,7,3,68,1/18/19,30,6.1,5,0.12,BHI3,6.81
99,FSL N1-0061,I,4b,Environment,BHI,Stationary,Plus,7,3,68,1/18/19,30,6.18,6.38,0.99,BHI3,7
100,FSL F2-0237,II,1/2a,Salmon,BHI,Stationary,Plus,7,3,68,1/18/19,30,6.14,8.34,2.94,BHI3,6
101,FSL L3-0051,I,1/2b,Salmon,BHI,Stationary,Plus,7,3,68,1/18/19,30,5.9,8.42,0.48,BHI3,6.54
102,FSL L4-0060,I,1/2b,Environment,BHI,Stationary,Plus,7,3,68,1/18/19,30,6.09,7.02,-1.34,BHI3,7.01
103,FSL F2-0310,I,4b,Salmon,BHI,Stationary,Minus,7,3,68,1/18/19,30,6.18,8.32,-0.38,BHI3,6.88
104,FSL L4-0396,II,1/2a,Environment,BHI,Stationary,Minus,7,3,68,1/18/19,30,6.1,8.55,-0.44,BHI3,6.7
105,FSL N1-0061,I,4b,Environment,BHI,Stationary,Minus,7,3,68,1/18/19,30,6.18,8.6,-0.43,BHI3,7
106,FSL F2-0237,II,1/2a,Salmon,BHI,Stationary,Minus,7,3,68,1/18/19,30,6.14,8.62,-0.46,BHI3,7
107,FSL L3-0051,I,1/2b,Salmon,BHI,Stationary,Minus,7,3,68,1/18/19,30,5.9,9.12,0.21,BHI3,7
108,FSL L4-0060,I,1/2b,Environment,BHI,Stationary,Minus,7,3,68,1/18/19,30,6.09,8.85,0.44,BHI3,7.95
109,FSL F2-0310,I,4b,Salmon,BHI,Stationary,Plus,7,4,86,2/6/19,1,5.88,5.93,0.05,BHI4,1.7
110,FSL L4-0396,II,1/2a,Environment,BHI,Stationary,Plus,7,4,86,2/6/19,1,5.91,5.39,-0.51,BHI4,1.7
111,FSL N1-0061,I,4b,Environment,BHI,Stationary,Plus,7,4,86,2/6/19,1,6.05,5.22,-0.83,BHI4,1.7
112,FSL F2-0237,II,1/2a,Salmon,BHI,Stationary,Plus,7,4,86,2/6/19,1,5.91,5.03,-0.89,BHI4,1.7
113,FSL L3-0051,I,1/2b,Salmon,BHI,Stationary,Plus,7,4,86,2/6/19,1,5.89,4.67,-1.21,BHI4,1.7
114,FSL L4-0060,I,1/2b,Environment,BHI,Stationary,Plus,7,4,86,2/6/19,1,5.79,4.2,-1.59,BHI4,1.7
115,FSL F2-0310,I,4b,Salmon,BHI,Stationary,Minus,7,4,86,2/6/19,1,5.88,6.15,0.27,BHI4,3.7
